chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,bouncy,tekno,warzone,industrial,non-techno-drop
0.60230476,0.41273627,2594.3439449774332,2771.1446919324726,5871.261888586957,0.05279664855072464,-11.5344925,68.99688,13.0380535,37.59936,8.163746,27.67021,4.391059,0,0,0,0,0
0.5072525,0.39817792,729.8425286006654,1152.5021436100762,1466.0054347826087,0.01615998641304348,-149.06682,172.74255,-5.0279403,20.82387,23.743824,23.226427,4.256642,0,1,0,0,0
0.51461506,0.38407397,1180.033143992414,1800.1737116794925,2814.639308763587,0.022456691576086957,-110.738396,139.1817,1.3189178,19.62338,19.912874,27.512976,2.5916557,0,1,0,0,0
0.5301439,0.38183683,2200.194228857131,2696.401826078621,5362.079653532609,0.042368659420289854,-24.718193,86.316414,5.182683,15.348275,11.90332,25.635504,6.164959,0,1,0,0,0
0.3626398,0.13826707,1855.667398214835,2101.8104981352003,3780.3566576086955,0.07225288722826087,-157.4927,99.81065,-12.849034,6.6548724,8.163828,0.10618189,-11.005245,0,0,0,0,1
0.41021726,0.19393095,2513.826868362291,2738.032772249349,5722.713994565217,0.09245499320652174,-61.510326,85.4665,3.7898111,8.840745,6.7166085,7.3805394,-9.710697,0,0,0,0,1
0.41168854,0.19847426,2702.935584383628,2756.900539044292,5977.055451766304,0.10513898324275363,-51.11769,74.76748,-1.1836976,16.923395,8.620983,6.4613805,-6.4596643,0,0,0,0,1
0.52751935,0.36247024,2080.4581056133575,2667.6704415621994,5152.614639945652,0.04331833106884058,-50.65934,92.06876,11.838501,11.851525,13.250657,24.048058,4.8348575,0,1,0,0,0
0.51248205,0.3695837,2214.30280588365,2783.4970941901584,5588.365531589674,0.04179545969202898,-44.323963,82.17739,16.979996,22.042885,11.014606,23.042116,7.223337,0,1,0,0,0
0.6279771,0.4626747,2250.601390162395,2616.0071051485593,4991.77097486413,0.053208503170289856,-64.9661,82.21126,42.227566,36.398277,10.965159,23.476147,8.182972,0,1,0,0,0
0.6344427,0.41778183,2461.5975094460928,2779.843515417424,5641.511973505435,0.06407665307971014,-38.8543,77.65512,36.544533,38.3121,3.6978352,18.675293,6.332952,0,1,0,0,0
0.5544248,0.3867704,2436.143343108856,2643.1383757500566,5364.482634171196,0.0840537250905797,-29.801403,91.55792,14.897754,14.198274,6.809393,13.55349,4.2848473,0,1,0,0,0
0.5939938,0.41001004,2349.163863076395,2893.1437777370757,5566.270592730978,0.041094882246376814,-78.71729,69.965645,47.625237,42.014317,15.130354,17.313688,5.9483004,0,1,0,0,0
